year,month,date,temp_mean,temp_min,temp_max,temp_avg_daily_min,temp_avg_daily_max,demand_mean,demand_max,demand_avg_daily_max,total_consumption,pv_capacity,population,gsp
2019,11,2019-11-01,18.99986111111111,5.2,34.6,13.776666666666667,24.233333333333334,7715.521125,11128.43,9118.742666666667,5555175.21,2371760.5559999994,8082690,56682.416666666664
2019,12,2019-12-01,20.861088709677418,4.4,42.1,15.364516129032259,27.322580645161292,7852.7683467741945,12110.45,9565.08064516129,5842459.65,2444637.9209999996,8088361,56682.416666666664
2020,1,2020-01-01,21.713498992612493,3.9,40.9,16.76451612903226,26.97741935483871,8250.835742108799,13634.63,10149.833548387096,6142747.21,2489471.286,8096241,56682.416666666664
2020,2,2020-02-01,20.322413793103447,3.7,37.2,15.62758620689655,25.193103448275863,7837.174439655173,11588.33,9311.35896551724,5454673.41,2546652.88,8104121,56682.416666666664
2020,3,2020-03-01,18.931989247311826,3.8,34.6,13.748387096774193,24.274193548387096,7405.220463709678,11001.07,8817.485806451612,5509484.025,2614158.814,8112001,56682.416666666664
2020,4,2020-04-01,17.736736111111114,3.6,44.7,11.55,24.496666666666666,7276.301326388889,12334.04,8982.185,5238936.955,2673640.022,8111538,56682.416666666664
2020,5,2020-05-01,14.921572580645162,3.4,32.7,10.170967741935485,20.306451612903224,7836.646431451613,11544.22,9679.506129032257,5830464.945,2739666.385,8111074,56682.416666666664
2020,6,2020-06-01,13.68763888888889,3.6,29.6,8.59,19.586666666666666,8162.399895833333,11980.08,10175.359,5876927.925,2814233.588,8110610,56109.666666666664
2020,7,2020-07-01,14.000537634408602,3.3,29.5,9.406451612903227,18.870967741935484,8362.233534946237,11880.64,10394.697741935484,6221501.75,2892755.229,8106709,56109.666666666664
2020,8,2020-08-01,14.613373655913978,2.2,27.8,9.093548387096773,20.074193548387097,7827.362594086021,11500.53,9764.8,5823557.77,2969007.614,8102807,56109.666666666664
2020,9,2020-09-01,16.460152990264255,4.9,30.5,11.33,21.723333333333336,7326.909749652295,11721.16,9027.053000000002,5268048.11,3054829.298,8098905,56109.666666666664
2020,10,2020-10-01,17.598051075268817,7.0,30.2,13.46774193548387,21.980645161290322,7340.289408602151,11920.34,8757.940322580645,5461175.32,3137388.1149999998,8097370,56109.666666666664
2020,11,2020-11-01,20.18486111111111,6.5,40.4,14.886666666666667,25.863333333333333,7584.2681180555555,12401.82,9291.636333333334,5460673.045,3234844.871,8095835,56109.666666666664
2020,12,2020-12-01,19.403830645161293,5.2,32.3,15.470967741935485,24.016129032258064,7300.258420698924,10863.32,8608.12129032258,5431392.265,3340420.4979999997,8094300,56109.666666666664
2021,1,2021-01-01,22.972348484848485,11.8,38.5,18.077272727272728,27.79090909090909,7846.117679924242,12197.57,9666.57,4142750.135,3404342.314,8093872,56109.666666666664
2021,2,2021-02-01,20.98015350877193,15.6,28.6,17.73157894736842,24.25263157894737,7361.1707565789475,10043.68,8568.184210526315,3356693.865,3492878.229,8093444,56109.666666666664
2021,3,2021-03-01,19.815844155844157,11.7,30.2,16.344444444444445,23.288888888888888,7210.417506493507,9587.3,8304.006666666666,1388005.37,3586770.344,8093015,56109.666666666664
2021,4,2021-04-01,21.648611111111112,14.3,28.4,16.3,28.0,7521.567986111111,9764.82,9185.066666666666,541552.895,3674625.544,8094364,56109.666666666664
2021,5,2021-05-01,21.976388888888888,13.7,28.2,16.7,26.566666666666666,7625.608125000001,10102.9,9172.25,549043.785,3752652.2130000005,8095713,56109.666666666664
2021,6,2021-06-01,21.29861111111111,17.6,25.1,18.900000000000002,23.7,7106.126041666666,8210.46,7993.899999999999,511641.075,3835073.7330000005,8097062,57391.083333333336
2021,7,2021-07-01,20.888194444444444,14.8,26.5,16.666666666666668,24.7,6845.285833333333,8524.88,8180.339999999999,492860.58,3898469.2290000003,8094209,57391.083333333336
2021,8,2021-08-01,21.104166666666668,16.9,30.7,17.766666666666666,24.96666666666667,7368.353055555556,9043.62,8410.176666666666,530521.42,3954209.7440000004,8091356,57391.083333333336
2021,9,2021-09-01,20.999305555555555,14.2,27.5,15.433333333333332,25.3,7229.3938194444445,9206.19,8469.68,520516.355,4033918.4770000004,8088503,57391.083333333336
2021,10,2021-10-01,21.084722222222222,14.8,26.9,16.3,25.46666666666667,7209.823194444445,8841.21,8575.093333333332,519107.27,4112353.0360000003,8092743,57391.083333333336
2021,11,2021-11-01,22.118055555555557,15.7,27.3,16.466666666666665,26.566666666666666,7649.492569444444,9573.7,9336.97,550763.465,4192992.282,8096983,57391.083333333336
2021,12,2021-12-01,23.685416666666665,16.1,33.5,18.099999999999998,30.2,7986.625902777779,10376.04,9784.833333333334,575037.0650000001,4291459.7700000005,8101223,57391.083333333336
