,Year,Month,temp_mean,temp_min,temp_max,demand_mean,demand_sum,Cumulative,Population,GSP
106,2018,11,18.415277777777778,3.7,28.4,7525.473909722222,10836682.43,1804618.462,7997217,55235.75
107,2018,12,20.96297043010753,3.4,35.4,8028.406075268817,11946268.24,1854683.749,8003564,55235.75
108,2019,1,22.287844190732034,3.8,38.8,8824.525231699126,13139718.07,1883996.421,8013373,55235.75
109,2019,2,19.92061011904762,3.7,30.7,7927.353556547619,10654363.18,1924458.647,8023182,55235.75
110,2019,3,19.821102150537634,3.7,31.2,7762.93563172043,11551248.22,1966733.1530000002,8032991,55235.75
111,2019,4,18.446875,6.4,32.7,7602.526145833333,10947637.65,2004678.7920000001,8037576,55235.75
112,2019,5,15.760887096774194,4.4,37.9,8037.74755376344,11960168.36,2052736.854,8042162,55235.75
113,2019,6,14.53125,2.0,35.1,8379.377750000001,12066303.96,2097377.88,8046748,56682.416666666664
114,2019,7,14.104502688172044,1.6,29.8,8230.229112903226,12246580.92,2149288.581,8054948,56682.416666666664
115,2019,8,14.774395161290322,1.4,33.0,8197.747802419355,12198248.73,2197163.7389999996,8063149,56682.416666666664
116,2019,9,16.376805555555556,5.0,32.4,7561.560923611111,10888647.73,2246053.0879999995,8071350,56682.416666666664
117,2019,10,17.763819771351713,4.6,36.1,7458.277128446536,11090458.09,2305266.4559999993,8077020,56682.416666666664
118,2019,11,18.99986111111111,5.2,34.6,7715.521125,11110350.42,2371760.5559999994,8082690,56682.416666666664
119,2019,12,20.861088709677418,4.4,42.1,7852.7683467741945,11684919.3,2444637.9209999996,8088361,56682.416666666664
120,2020,1,21.713498992612493,3.9,40.9,8250.835742108799,12285494.42,2489471.286,8096241,56682.416666666664
121,2020,2,20.322413793103447,3.7,37.2,7837.174439655173,10909346.82,2546652.88,8104121,56682.416666666664
122,2020,3,18.931989247311826,3.8,34.6,7405.220463709678,11018968.05,2614158.814,8112001,56682.416666666664
123,2020,4,17.736736111111114,3.6,44.7,7276.301326388889,10477873.91,2673640.022,8111538,56682.416666666664
124,2020,5,14.921572580645162,3.4,32.7,7836.646431451613,11660929.89,2739666.385,8111074,56682.416666666664
125,2020,6,13.68763888888889,3.6,29.6,8162.399895833333,11753855.85,2814233.588,8110610,56109.666666666664
126,2020,7,14.000537634408602,3.3,29.5,8362.233534946237,12443003.5,2892755.229,8106709,56109.666666666664
127,2020,8,14.613373655913978,2.2,27.8,7827.362594086021,11647115.54,2969007.614,8102807,56109.666666666664
128,2020,9,16.460152990264255,4.9,30.5,7326.909749652295,10536096.22,3054829.298,8098905,56109.666666666664
129,2020,10,17.598051075268817,7.0,30.2,7340.289408602151,10922350.64,3137388.1149999998,8097370,56109.666666666664
130,2020,11,20.18486111111111,6.5,40.4,7584.2681180555555,10921346.09,3234844.871,8095835,56109.666666666664
131,2020,12,19.403830645161293,5.2,32.3,7300.258420698924,10862784.53,3340420.4979999997,8094300,56109.666666666664
132,2021,1,22.972348484848485,11.8,38.5,7846.117679924242,8285500.27,3404342.314,8093872,56109.666666666664
133,2021,2,20.98015350877193,15.6,28.6,7361.1707565789475,6713387.73,3492878.229,8093444,56109.666666666664
134,2021,3,19.815844155844157,11.7,30.2,7210.417506493507,2776010.74,3586770.344,8093015,56109.666666666664
135,2021,4,21.648611111111112,14.3,28.4,7521.567986111111,1083105.79,3674625.544,8094364,56109.666666666664
136,2021,5,21.976388888888888,13.7,28.2,7625.608125000001,1098087.57,3752652.2130000005,8095713,56109.666666666664
137,2021,6,21.29861111111111,17.6,25.1,7106.126041666666,1023282.15,3835073.7330000005,8097062,57391.083333333336
138,2021,7,20.888194444444444,14.8,26.5,6845.285833333333,985721.16,3898469.2290000003,8094209,57391.083333333336
139,2021,8,21.104166666666668,16.9,30.7,7368.353055555556,1061042.84,3954209.7440000004,8091356,57391.083333333336
140,2021,9,20.999305555555555,14.2,27.5,7229.3938194444445,1041032.71,4033918.4770000004,8088503,57391.083333333336
141,2021,10,21.084722222222222,14.8,26.9,7209.823194444445,1038214.54,4112353.0360000003,8092743,57391.083333333336
142,2021,11,22.118055555555557,15.7,27.3,7649.492569444444,1101526.93,4192992.282,8096983,57391.083333333336
143,2021,12,23.685416666666665,16.1,33.5,7986.625902777779,1150074.1300000001,4291459.7700000005,8101223,57391.083333333336
